flow,pkts,bytes,dur,pps,mean_size,std_size,min_iat,mean_iat,syn,ack,fin,rst,syn_frac,bidir,proto,dport,label
"('6', 'fe80::2462:a1ff:fed5:d65c', 5353, 'ff02::fb', 5353, 'UDP')",9,1798,22.338600158691406,0.40289006186890897,199.77777777777777,142.83928636196367,0.19570398330688477,2.792325019836426,0,0,0,0,0.0,0,UDP,ff02::fb,Normal
"('4', '127.0.0.1', 5334, '127.0.0.1', 58547, 'TCP')",10,524,123.14622807502747,0.08120427362101135,52.4,5.499090833947008,3.695487976074219e-05,13.682914230558607,0,10,2,0,0.0,1,TCP,127.0.0.1,Malicious
"('6', 'fe80::845e:5aff:fea1:194e', 5353, 'ff02::fb', 5353, 'UDP')",9,1798,99.85728216171265,0.09012862963188864,199.77777777777777,142.83928636196367,0.46149206161499023,12.48216027021408,0,0,0,0,0.0,0,UDP,ff02::fb,Normal
"('4', '127.0.0.1', 8000, '127.0.0.1', 48444, 'TCP')",3,136,0.00011086463928222656,27060.025806451613,45.333333333333336,1.8856180831641267,1.0013580322265625e-05,5.543231964111328e-05,2,1,0,1,0.6666666666666666,1,TCP,127.0.0.1,Malicious
"('4', '127.0.0.1', 8000, '127.0.0.1', 46516, 'TCP')",2,88,7.390975952148438e-05,27060.025806451613,44.0,0.0,7.390975952148438e-05,7.390975952148438e-05,0,1,0,1,0.0,1,TCP,127.0.0.1,Malicious
"('4', '127.0.0.1', 8000, '127.0.0.1', 9224, 'TCP')",2,124,4.1961669921875e-05,47662.545454545456,62.0,18.0,4.1961669921875e-05,4.1961669921875e-05,0,1,0,1,0.0,1,TCP,127.0.0.1,Malicious
"('4', '127.0.0.1', 8000, '127.0.0.1', 9529, 'TCP')",2,124,4.506111145019531e-05,44384.16931216931,62.0,18.0,4.506111145019531e-05,4.506111145019531e-05,0,1,0,1,0.0,1,TCP,127.0.0.1,Malicious
"('4', '127.0.0.1', 8000, '127.0.0.1', 53106, 'TCP')",2,124,4.291534423828125e-05,46603.37777777778,62.0,18.0,4.291534423828125e-05,4.291534423828125e-05,0,1,0,1,0.0,1,TCP,127.0.0.1,Malicious
"('4', '127.0.0.1', 8000, '127.0.0.1', 39598, 'TCP')",2,88,4.38690185546875e-05,45590.260869565216,44.0,0.0,4.38690185546875e-05,4.38690185546875e-05,0,1,1,1,0.0,1,TCP,127.0.0.1,Malicious
"('6', 'fe80::ac78:b7ff:fe27:7cb8', 5353, 'ff02::fb', 5353, 'UDP')",8,1672,19.272037029266357,0.4151092065592893,209.0,148.95636945092346,0.4898669719696045,2.753148147038051,0,0,0,0,0.0,0,UDP,ff02::fb,Normal
"('4', '127.0.0.1', 1499, '127.0.0.1', 13717, 'TCP')",2,88,4.1961669921875e-05,47662.545454545456,44.0,0.0,4.1961669921875e-05,4.1961669921875e-05,1,1,0,1,0.5,1,TCP,127.0.0.1,Malicious
"('4', '127.0.0.1', 1500, '127.0.0.1', 31629, 'TCP')",2,88,4.1961669921875e-05,47662.545454545456,44.0,0.0,4.1961669921875e-05,4.1961669921875e-05,1,1,0,1,0.5,1,TCP,127.0.0.1,Malicious
"('4', '127.0.0.1', 1501, '127.0.0.1', 49355, 'TCP')",2,88,3.886222839355469e-05,51463.8527607362,44.0,0.0,3.886222839355469e-05,3.886222839355469e-05,1,1,0,1,0.5,1,TCP,127.0.0.1,Malicious
"('4', '127.0.0.1', 1502, '127.0.0.1', 23265, 'TCP')",2,88,3.790855407714844e-05,52758.54088050315,44.0,0.0,3.790855407714844e-05,3.790855407714844e-05,1,1,0,1,0.5,1,TCP,127.0.0.1,Malicious
"('4', '127.0.0.1', 1503, '127.0.0.1', 43789, 'TCP')",2,88,3.600120544433594e-05,55553.69536423841,44.0,0.0,3.600120544433594e-05,3.600120544433594e-05,1,1,0,1,0.5,1,TCP,127.0.0.1,Malicious
"('4', '127.0.0.1', 1504, '127.0.0.1', 12673, 'TCP')",2,88,4.1961669921875e-05,47662.545454545456,44.0,0.0,4.1961669921875e-05,4.1961669921875e-05,1,1,0,1,0.5,1,TCP,127.0.0.1,Malicious
"('4', '127.0.0.1', 1505, '127.0.0.1', 18705, 'TCP')",2,88,3.695487976074219e-05,54120.051612903226,44.0,0.0,3.695487976074219e-05,3.695487976074219e-05,1,1,0,1,0.5,1,TCP,127.0.0.1,Malicious
"('4', '127.0.0.1', 5334, '127.0.0.1', 58668, 'TCP')",10,1177,60.45739817619324,0.1654057286894257,117.7,121.19740096223187,1.71661376953125e-05,6.717488686243693,2,9,0,0,0.2,1,TCP,127.0.0.1,Normal
"('4', '127.0.0.1', 9999, '127.0.0.1', 11477, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 23736, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9433, '127.0.0.1', 9999, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 37685, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 14234, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious`
"('4', '127.0.0.1', 9999, '127.0.0.1', 24154, 'UDP')",2,128,0.52286696434021,3.825064761021457,64.0,0.0,0.52286696434021,0.52286696434021,0,0,0,0,0.0,0,UDP,127.0.0.1,Normal
"('4', '127.0.0.1', 9999, '127.0.0.1', 12344, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 33148, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 62192, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 13768, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 55064, 'UDP')",2,128,1.651381015777588,1.2111075402294469,64.0,0.0,1.651381015777588,1.651381015777588,0,0,0,0,0.0,0,UDP,127.0.0.1,Normal
"('4', '127.0.0.1', 9999, '127.0.0.1', 43833, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 26794, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 61568, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 25564, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 60859, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 4547, '127.0.0.1', 9999, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 20555, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 31906, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 52283, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 35903, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 42343, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 48912, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 19594, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 53847, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 57706, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 14646, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 60112, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 62318, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 51727, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 55087, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 57335, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 36307, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 61985, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 35629, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 39558, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 58547, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 30176, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 43897, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
"('4', '127.0.0.1', 9999, '127.0.0.1', 25811, 'UDP')",1,64,1e-09,999999999.9999999,64.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,127.0.0.1,Malicious
