flow,pkts,bytes,dur,pps,mean_size,std_size,min_iat,mean_iat,syn,ack,fin,rst,syn_frac,bidir,proto,dport,label
"('4', '10.152.60.92', 58826, '20.118.198.33', 443, 'TCP')",64,5073,31.46869206428528,2.0337673986976865,79.265625,113.78368212691737,4.0531158447265625e-06,0.4995030486394489,0,64,0,0,0.0,1,TCP,20.118.198.33,Normal
"('4', '10.152.60.92', 60981, '17.248.201.67', 443, 'TCP')",32,11075,1.9615728855133057,16.313439197864025,346.09375,464.68910032508563,9.5367431640625e-07,0.0632765446939776,2,31,2,0,0.0625,1,TCP,17.248.201.67,Normal
"('4', '10.152.60.92', 57825, '20.118.198.33', 443, 'TCP')",62,4953,30.9718759059906,2.00181610530113,79.88709677419355,115.54584411207216,2.86102294921875e-06,0.5077356705900098,0,62,0,0,0.0,1,TCP,20.118.198.33,Normal
"('4', '10.152.60.92', 56969, '3.33.235.18', 443, 'TCP')",2,110,0.010725975036621094,186.46323464034853,55.0,1.0,0.010725975036621094,0.010725975036621094,0,2,0,0,0.0,1,TCP,3.33.235.18,Malicious
"('4', '10.152.60.92', 60970, '17.248.200.54', 443, 'TCP')",71,15125,21.380913972854614,3.320718660116316,213.0281690140845,163.7415493427204,9.5367431640625e-07,0.30544162818363735,0,71,0,0,0.0,1,TCP,17.248.200.54,Normal
"('4', '10.152.60.92', 60982, '17.248.201.67', 443, 'TCP')",46,17925,3.6854751110076904,12.481430104522557,389.67391304347825,515.2352377206316,9.5367431640625e-07,0.08189944691128201,2,45,3,0,0.043478260869565216,1,TCP,17.248.201.67,Normal
"('4', '10.152.60.92', 56716, '142.250.64.138', 443, 'UDP')",10,805,25.329726934432983,0.39479304399472614,80.5,19.93113142799475,0.003676891326904297,2.814414103825887,0,0,0,0,0.0,1,UDP,142.250.64.138,Normal
"('4', '10.152.14.123', 7000, '10.152.60.92', 59311, 'TCP')",12,2768,0.04399585723876953,272.7529534172935,230.66666666666666,392.23384464995985,4.0531158447265625e-06,0.003999623385342685,2,11,2,0,0.16666666666666666,1,TCP,10.152.60.92,Normal
"('4', '10.152.60.92', 59928, '17.57.144.152', 5223, 'TCP')",20,3255,21.177021980285645,0.944419853680023,162.75,149.67193290660745,0.0001919269561767578,1.1145801042255603,0,20,0,0,0.0,1,TCP,17.57.144.152,Normal
"('4', '10.152.60.92', 59312, '10.154.6.18', 7000, 'TCP')",7,546,7.005817174911499,0.9991696650417412,78.0,0.0,1.0003330707550049,1.1676361958185832,7,0,0,0,1.0,0,TCP,10.154.6.18,Normal
"('4', '10.152.60.92', 59309, '35.187.148.146', 443, 'TCP')",5,337,0.19333291053771973,25.862125522723602,67.4,15.742934923323542,1.9073486328125e-06,0.04833322763442993,0,3,2,2,0.0,1,TCP,35.187.148.146,Normal
"('4', '10.152.60.92', 50290, '142.250.64.142', 443, 'UDP')",18,2469,22.251600980758667,0.8089305581007363,137.16666666666666,123.1292229958248,0.0027790069580078125,1.3089177047505098,0,0,0,0,0.0,1,UDP,142.250.64.142,Normal
"('4', '10.152.60.92', 17970, '10.20.20.11', 53, 'UDP')",2,238,0.0058481693267822266,341.98736189816134,119.0,39.0,0.0058481693267822266,0.0058481693267822266,0,0,0,0,0.0,1,UDP,10.20.20.11,Normal
"('4', '10.152.60.92', 64917, '10.20.20.11', 53, 'UDP')",2,204,0.005786895751953125,345.60843770599865,102.0,22.0,0.005786895751953125,0.005786895751953125,0,0,0,0,0.0,1,UDP,10.20.20.11,Normal
"('4', '10.152.60.92', 63266, '142.250.217.206', 443, 'UDP')",29,16140,0.12923693656921387,224.39405304588615,556.551724137931,561.0182605797461,9.5367431640625e-07,0.004615604877471924,0,0,0,0,0.0,1,UDP,142.250.217.206,Normal
"('4', '10.152.60.92', 60983, '17.248.201.67', 443, 'TCP')",35,12854,1.2693040370941162,27.574165824074207,367.25714285714287,489.9973960780458,9.5367431640625e-07,0.03733247167923871,2,34,3,0,0.05714285714285714,1,TCP,17.248.201.67,Normal
"('4', '10.152.60.92', 53499, '142.250.9.207', 443, 'UDP')",87,60787,2.1188840866088867,41.05934843242742,698.7011494252873,564.0833498968594,0.0,0.024638187053591706,0,0,0,0,0.0,1,UDP,142.250.9.207,Normal
"('4', '10.152.60.92', 60984, '17.248.201.67', 443, 'TCP')",29,10766,5.132863998413086,5.649867210385051,371.2413793103448,463.16025789638866,2.1457672119140625e-06,0.18331657137189591,2,28,3,0,0.06896551724137931,1,TCP,17.248.201.67,Normal
"('4', '10.152.60.92', 53506, '142.250.64.138', 443, 'UDP')",19,4216,22.448707103729248,0.8463739097403815,221.89473684210526,281.5245889488616,5.0067901611328125e-06,1.247150394651625,0,0,0,0,0.0,1,UDP,142.250.64.138,Normal
"('4', '10.152.60.92', 60985, '17.248.201.67', 443, 'TCP')",46,17943,3.861675977706909,11.911926392984201,390.0652173913044,514.8078747655331,9.5367431640625e-07,0.0858150217268202,2,45,2,0,0.043478260869565216,1,TCP,17.248.201.67,Normal
"('4', '10.152.60.92', 57165, '104.16.103.112', 443, 'TCP')",8,688,22.516511917114258,0.3552948178407417,86.0,20.049937655763422,0.00010085105895996094,3.2166445595877513,0,8,0,0,0.0,1,TCP,104.16.103.112,Normal
"('4', '10.152.60.92', 56856, '52.112.95.42', 443, 'TCP')",3,289,0.030710935592651367,97.6850734797494,96.33333333333333,21.913973218524802,0.00016999244689941406,0.015355467796325684,0,3,0,0,0.0,1,TCP,52.112.95.42,Normal
"('4', '10.152.60.92', 59306, '140.82.113.22', 443, 'TCP')",11,7595,0.3729698657989502,29.492999324319573,690.4545454545455,618.3393248542073,0.0,0.03729698657989502,0,11,0,0,0.0,1,TCP,140.82.113.22,Normal
"('4', '10.152.60.92', 56791, '74.125.196.188', 5228, 'TCP')",2,120,0.023268938064575195,85.95149441068885,60.0,6.0,0.023268938064575195,0.023268938064575195,0,2,0,0,0.0,1,TCP,74.125.196.188,Normal
"('4', '10.152.60.92', 56790, '74.125.196.188', 5228, 'TCP')",2,120,0.023226022720336914,86.11030928893314,60.0,6.0,0.023226022720336914,0.023226022720336914,0,2,0,0,0.0,1,TCP,74.125.196.188,Normal
"('4', '10.152.51.67', 61352, '10.152.60.92', 7000, 'TCP')",14,2920,0.06255102157592773,223.81728782808224,208.57142857142858,369.2673662200629,9.5367431640625e-07,0.004811617044302134,2,13,2,0,0.14285714285714285,1,TCP,10.152.60.92,Normal
"('4', '10.152.60.92', 56873, '208.103.161.1', 443, 'TCP')",8,694,12.784358024597168,0.6257647028194893,86.75,23.1880896151451,0.0002818107604980469,1.8263368606567383,0,8,0,0,0.0,1,TCP,208.103.161.1,Normal
"('4', '10.152.60.92', 56871, '208.103.161.1', 443, 'TCP')",8,694,16.374144077301025,0.48857515618725716,86.75,23.1880896151451,0.0002510547637939453,2.339163439614432,0,8,0,0,0.0,1,TCP,208.103.161.1,Normal
"('4', '10.152.60.92', 49293, '142.250.217.170', 443, 'UDP')",16,2023,19.512396812438965,0.8199915240448654,126.4375,159.86751106384938,3.0994415283203125e-06,1.3008264541625976,0,0,0,0,0.0,1,UDP,142.250.217.170,Normal
"('4', '10.152.60.92', 46259, '10.20.20.11', 53, 'UDP')",2,207,0.01106715202331543,180.71496585449924,103.5,28.5,0.01106715202331543,0.01106715202331543,0,0,0,0,0.0,1,UDP,10.20.20.11,Normal
"('4', '10.152.60.92', 64423, '10.20.20.11', 53, 'UDP')",2,166,0.01101994514465332,181.4891066831094,83.0,8.0,0.01101994514465332,0.01101994514465332,0,0,0,0,0.0,1,UDP,10.20.20.11,Normal
"('4', '10.152.60.92', 53796, '172.217.165.195', 443, 'UDP')",30,12429,0.07735705375671387,387.8120810333509,414.3,498.9238519052782,9.5367431640625e-07,0.002667484612300478,0,0,0,0,0.0,1,UDP,172.217.165.195,Normal
"('4', '10.152.60.92', 59980, '172.67.133.135', 443, 'TCP')",15,5106,20.02608585357666,0.7490230547134601,340.4,337.5136145402138,9.5367431640625e-07,1.4304347038269043,0,15,0,0,0.0,1,TCP,172.67.133.135,Normal
"('4', '10.152.60.92', 59296, '20.42.73.27', 443, 'TCP')",7,597,4.918057203292847,1.4233262669887623,85.28571428571429,35.09462427582356,9.799003601074219e-05,0.8196762005488077,0,7,2,0,0.0,1,TCP,20.42.73.27,Normal
"('4', '10.152.60.92', 60986, '17.248.201.67', 443, 'TCP')",34,13099,1.6006560325622559,21.241290638547984,385.2647058823529,501.7426284709258,9.5367431640625e-07,0.048504728259462296,2,33,2,0,0.058823529411764705,1,TCP,17.248.201.67,Normal
"('4', '10.152.60.92', 56828, '162.159.135.234', 443, 'TCP')",3,350,0.028667926788330078,104.6465627650904,116.66666666666667,49.59390643572611,0.0002429485321044922,0.014333963394165039,0,3,0,0,0.0,1,TCP,162.159.135.234,Normal
"('4', '10.152.60.92', 51826, '142.250.9.207', 443, 'UDP')",75,52879,1.766017198562622,42.46844258427562,705.0533333333333,563.0327141077645,9.5367431640625e-07,0.02386509727787327,0,0,0,0,0.0,1,UDP,142.250.9.207,Normal
"('4', '10.152.38.192', 7000, '10.152.60.92', 59313, 'TCP')",13,2827,0.03887486457824707,334.4063096048524,217.46153846153845,378.8441155743685,3.0994415283203125e-06,0.003239572048187256,2,12,2,0,0.15384615384615385,1,TCP,10.152.60.92,Normal
"('4', '10.152.60.92', 60987, '17.248.201.67', 443, 'TCP')",30,11010,4.981503009796143,6.02227880641744,367.0,459.246266542618,1.9073486328125e-06,0.1717759658550394,2,29,2,0,0.06666666666666667,1,TCP,17.248.201.67,Normal
"('4', '10.152.60.92', 60988, '17.248.201.67', 443, 'TCP')",49,18213,2.598569869995117,18.85652587824859,371.6938775510204,504.70901716071205,9.5367431640625e-07,0.05413687229156494,2,48,3,0,0.04081632653061224,1,TCP,17.248.201.67,Normal
"('4', '10.152.60.92', 58895, '104.18.39.21', 443, 'TCP')",8,632,20.01459288597107,0.3997083550776334,79.0,13.076696830622021,0.0001239776611328125,2.859227555138724,0,8,0,0,0.0,1,TCP,104.18.39.21,Normal
"('4', '10.152.60.92', 60923, '57.144.199.33', 443, 'TCP')",2,180,0.0006899833679199219,2898.620594333103,90.0,24.0,0.0006899833679199219,0.0006899833679199219,0,2,0,0,0.0,1,TCP,57.144.199.33,Malicious
"('4', '10.152.60.92', 57180, '10.20.20.11', 53, 'UDP')",2,216,0.003387928009033203,590.3313159746657,108.0,35.0,0.003387928009033203,0.003387928009033203,0,0,0,0,0.0,1,UDP,10.20.20.11,Normal
"('4', '10.152.60.92', 26025, '10.20.20.11', 53, 'UDP')",2,178,0.003342866897583008,598.2888524356323,89.0,16.0,0.003342866897583008,0.003342866897583008,0,0,0,0,0.0,1,UDP,10.20.20.11,Normal
"('4', '10.152.60.92', 59314, '104.16.102.112', 443, 'TCP')",31,10711,1.0057568550109863,30.82255899678792,345.51612903225805,488.4817737523494,9.5367431640625e-07,0.03352522850036621,2,30,2,0,0.06451612903225806,1,TCP,104.16.102.112,Normal
"('4', '10.152.60.92', 24835, '163.118.113.58', 8000, 'TCP')",1,54,1e-09,999999999.9999999,54.0,0.0,1e-09,1e-09,1,0,0,0,1.0,0,TCP,163.118.113.58,Malicious
"('4', '10.152.60.92', 57818, '172.217.165.202', 443, 'UDP')",4,333,5.171313047409058,0.7734979420756762,83.25,22.554101622543072,0.027886152267456055,1.7237710158030193,0,0,0,0,0.0,1,UDP,172.217.165.202,Normal
"('4', '10.152.60.92', 46031, '163.118.113.58', 8000, 'TCP')",1,94,1e-09,999999999.9999999,94.0,0.0,1e-09,1e-09,0,1,0,0,0.0,0,TCP,163.118.113.58,Malicious
"('4', '10.152.60.92', 56664, '163.118.113.58', 8000, 'TCP')",1,94,1e-09,999999999.9999999,94.0,0.0,1e-09,1e-09,0,1,0,0,0.0,0,TCP,163.118.113.58,Malicious
"('4', '10.152.60.92', 45059, '163.118.113.58', 8000, 'TCP')",1,94,1e-09,999999999.9999999,94.0,0.0,1e-09,1e-09,0,1,0,0,0.0,0,TCP,163.118.113.58,Malicious
"('4', '10.152.60.92', 60989, '17.248.201.67', 443, 'TCP')",36,15183,1.3865349292755127,25.964005118003477,421.75,536.2714577421484,9.5367431640625e-07,0.03961528369358608,2,35,3,0,0.05555555555555555,1,TCP,17.248.201.67,Normal
